file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,1,css,8c2f174a,Susana,2025-10-07,23:31:52,-07:00,2025-10-07T23:31:52-07:00,0,0
styles.css,2,css,8c2f174a,Susana,2025-10-07,23:31:52,-07:00,2025-10-07T23:31:52-07:00,0,0
styles.css,3,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,0,5
styles.css,4,css,2a032461,Susana,2025-10-16,22:43:11,-07:00,2025-10-16T22:43:11-07:00,1,22
styles.css,5,css,63b40f98,Susana,2025-10-16,22:19:32,-07:00,2025-10-16T22:19:32-07:00,1,39
styles.css,6,css,8c2f174a,Susana,2025-10-07,23:31:52,-07:00,2025-10-07T23:31:52-07:00,2,0
styles.css,7,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,0,0
styles.css,8,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,0,4
styles.css,9,css,2a032461,Susana,2025-10-16,22:43:11,-07:00,2025-10-16T22:43:11-07:00,1,23
styles.css,10,css,63b40f98,Susana,2025-10-16,22:19:32,-07:00,2025-10-16T22:19:32-07:00,1,32
styles.css,11,css,2a032461,Susana,2025-10-16,22:43:11,-07:00,2025-10-16T22:43:11-07:00,1,23
styles.css,12,css,2a032461,Susana,2025-10-16,22:43:11,-07:00,2025-10-16T22:43:11-07:00,1,16
styles.css,13,css,8c2f174a,Susana,2025-10-07,23:31:52,-07:00,2025-10-07T23:31:52-07:00,0,0
styles.css,14,css,8c2f174a,Susana,2025-10-07,23:31:52,-07:00,2025-10-07T23:31:52-07:00,0,0
styles.css,15,css,0af3ccd4,Susana,2025-10-07,20:48:21,-07:00,2025-10-07T20:48:21-07:00,0,2
styles.css,16,css,2a032461,Susana,2025-10-16,22:43:11,-07:00,2025-10-16T22:43:11-07:00,1,16
styles.css,17,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,13
styles.css,18,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,15
styles.css,19,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,17
styles.css,20,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,14
styles.css,21,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,0,0
styles.css,22,css,c70bd369,Susana,2025-10-09,22:05:29,-07:00,2025-10-09T22:05:29-07:00,0,0
styles.css,23,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,0,18
styles.css,24,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,15
styles.css,25,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,17
styles.css,26,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,14
styles.css,27,css,f52bf6d8,Susana,2025-10-10,18:13:29,-07:00,2025-10-10T18:13:29-07:00,1,19
styles.css,28,css,0af3ccd4,Susana,2025-10-07,20:48:21,-07:00,2025-10-07T20:48:21-07:00,0,0
styles.css,29,css,0af3ccd4,Susana,2025-10-07,20:48:21,-07:00,2025-10-07T20:48:21-07:00,0,0
styles.css,30,css,53ae8bc0,Susana,2025-10-07,22:06:17,-07:00,2025-10-07T22:06:17-07:00,0,2
styles.css,31,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,1,16
styles.css,32,css,53ae8bc0,Susana,2025-10-07,22:06:17,-07:00,2025-10-07T22:06:17-07:00,0,0
styles.css,33,css,53ae8bc0,Susana,2025-10-07,22:06:17,-07:00,2025-10-07T22:06:17-07:00,0,0
styles.css,34,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,0,5
styles.css,35,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,1,16
styles.css,36,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,0,0
styles.css,37,css,acaa649e,Susana,2025-10-09,22:47:37,-07:00,2025-10-09T22:47:37-07:00,0,0
styles.css,38,css,9d07cfac,Susana,2025-10-09,22:26:26,-07:00,2025-10-09T22:26:26-07:00,0,3
styles.css,39,css,07267b81,Susana,2025-10-09,21:39:34,-07:00,2025-10-09T21:39:34-07:00,1,12
styles.css,40,css,9d07cfac,Susana,2025-10-09,22:26:26,-07:00,2025-10-09T22:26:26-07:00,1,18
styles.css,41,css,63b40f98,Susana,2025-10-16,22:19:32,-07:00,2025-10-16T22:19:32-07:00,1,23
styles.css,42,css,efd6be29,Susana,2025-10-16,22:51:50,-07:00,2025-10-16T22:51:50-07:00,1,44
styles.css,43,css,07267b81,Susana,2025-10-09,21:39:34,-07:00,2025-10-09T21:39:34-07:00,0,0
styles.css,44,css,07267b81,Susana,2025-10-09,21:39:34,-07:00,2025-10-09T21:39:34-07:00,0,0
styles.css,45,css,9d07cfac,Susana,2025-10-09,22:26:26,-07:00,2025-10-09T22:26:26-07:00,0,5
styles.css,46,css,63b71a46,Susana,2025-10-07,23:19:50,-07:00,2025-10-07T23:19:50-07:00,1,6
styles.css,47,css,5dec6dd1,Susana,2025-10-07,23:22:38,-07:00,2025-10-07T23:22:38-07:00,1,20
styles.css,48,css,5dec6dd1,Susana,2025-10-07,23:22:38,-07:00,2025-10-07T23:22:38-07:00,1,13
styles.css,49,css,5dec6dd1,Susana,2025-10-07,23:22:38,-07:00,2025-10-07T23:22:38-07:00,1,17
styles.css,50,css,ac182fa3,Susana,2025-10-09,23:15:59,-07:00,2025-10-09T23:15:59-07:00,1,15
styles.css,51,css,644ab140,Susana,2025-10-16,23:02:08,-07:00,2025-10-16T23:02:08-07:00,1,37
styles.css,52,css,ac182fa3,Susana,2025-10-09,23:15:59,-07:00,2025-10-09T23:15:59-07:00,1,15
styles.css,53,css,35c60ec8,Susana,2025-10-09,21:50:59,-07:00,2025-10-09T21:50:59-07:00,0,0
styles.css,54,css,35c60ec8,Susana,2025-10-09,21:50:59,-07:00,2025-10-09T21:50:59-07:00,0,0
styles.css,55,css,c70bd369,Susana,2025-10-09,22:05:29,-07:00,2025-10-09T22:05:29-07:00,0,13
styles.css,56,css,63b40f98,Susana,2025-10-16,22:19:32,-07:00,2025-10-16T22:19:32-07:00,1,25
styles.css,57,css,c70bd369,Susana,2025-10-09,22:05:29,-07:00,2025-10-09T22:05:29-07:00,1,20
styles.css,58,css,e1d0f547,Susana,2025-10-09,23:00:44,-07:00,2025-10-09T23:00:44-07:00,1,16
styles.css,59,css,efd6be29,Susana,2025-10-16,22:51:50,-07:00,2025-10-16T22:51:50-07:00,1,44
styles.css,60,css,c70bd369,Susana,2025-10-09,22:05:29,-07:00,2025-10-09T22:05:29-07:00,0,0
styles.css,61,css,c70bd369,Susana,2025-10-09,22:05:29,-07:00,2025-10-09T22:05:29-07:00,0,0
styles.css,62,css,9d07cfac,Susana,2025-10-09,22:26:26,-07:00,2025-10-09T22:26:26-07:00,0,11
styles.css,63,css,644ab140,Susana,2025-10-16,23:02:08,-07:00,2025-10-16T23:02:08-07:00,1,69
styles.css,64,css,644ab140,Susana,2025-10-16,23:02:08,-07:00,2025-10-16T23:02:08-07:00,1,45
styles.css,65,css,8042fb84,Susana,2025-10-09,22:02:06,-07:00,2025-10-09T22:02:06-07:00,1,25
styles.css,66,css,4c4e8d56,Susana,2025-10-16,22:54:50,-07:00,2025-10-16T22:54:50-07:00,1,77
styles.css,67,css,63b71a46,Susana,2025-10-07,23:19:50,-07:00,2025-10-07T23:19:50-07:00,0,0
styles.css,68,css,63b71a46,Susana,2025-10-07,23:19:50,-07:00,2025-10-07T23:19:50-07:00,0,0
styles.css,69,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,0,4
styles.css,70,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,1,12
styles.css,71,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,30
styles.css,72,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,7
styles.css,73,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,18
styles.css,74,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,15
styles.css,75,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,18
styles.css,76,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,77,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,78,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,0,10
styles.css,79,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,12
styles.css,80,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,29
styles.css,81,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,18
styles.css,82,css,9bf07185,Susana,2025-10-10,15:19:10,-07:00,2025-10-10T15:19:10-07:00,1,16
styles.css,83,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,9
styles.css,84,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,12
styles.css,85,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,86,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,87,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,0,9
styles.css,88,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,0,13
styles.css,89,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,1,12
styles.css,90,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,21
styles.css,91,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,10
styles.css,92,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,93,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,94,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,11
styles.css,95,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,18
styles.css,96,css,3e516594,Susana,2025-10-10,17:11:01,-07:00,2025-10-10T17:11:01-07:00,1,12
styles.css,97,css,62dcda96,Susana,2025-10-10,16:05:00,-07:00,2025-10-10T16:05:00-07:00,1,10
styles.css,98,css,9bf07185,Susana,2025-10-10,15:19:10,-07:00,2025-10-10T15:19:10-07:00,1,14
styles.css,99,css,96da847e,Susana,2025-10-10,15:37:24,-07:00,2025-10-10T15:37:24-07:00,1,12
styles.css,100,css,1727cffb,Susana,2025-10-10,14:29:21,-07:00,2025-10-10T14:29:21-07:00,1,14
styles.css,101,css,92f13c58,Susana,2025-10-10,17:26:27,-07:00,2025-10-10T17:26:27-07:00,1,17
styles.css,102,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,103,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,104,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,0,25
styles.css,105,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,4
styles.css,106,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,2,25
styles.css,107,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,0
styles.css,108,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,109,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,10
styles.css,110,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,2,15
styles.css,111,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,1,0
styles.css,112,css,dbe0a355,Susana,2025-10-10,15:51:24,-07:00,2025-10-10T15:51:24-07:00,0,0
styles.css,113,css,83e577b1,Susana,2025-10-10,14:24:17,-07:00,2025-10-10T14:24:17-07:00,0,0
styles.css,114,css,d094912c,Susana,2025-10-23,18:11:06,-07:00,2025-10-23T18:11:06-07:00,0,8
styles.css,115,css,d094912c,Susana,2025-10-23,18:11:06,-07:00,2025-10-23T18:11:06-07:00,1,10
styles.css,116,css,d094912c,Susana,2025-10-23,18:11:06,-07:00,2025-10-23T18:11:06-07:00,0,0
styles.css,117,css,d094912c,Susana,2025-10-23,18:11:06,-07:00,2025-10-23T18:11:06-07:00,0,0
styles.css,118,css,baf2d266,Susana,2025-10-10,18:07:21,-07:00,2025-10-10T18:07:21-07:00,0,9
